file_name,text,voice_code,sample_rate,speed_rate,request_id,audio_link
wavs/0001_0001.wav,"trời vừa hửng sáng, màn sương còn đọng trên những mái nhà cũ, và con đường nhỏ trước hiên vẫn im lìm như đang ngủ.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0002_0002.wav,"bà cụ khẽ mở cánh cửa gỗ, nhìn ra khu vườn quen thuộc, nơi những chiếc lá non rung nhẹ trong làn gió đầu ngày.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0003_0003.wav,"trong căn phòng nhỏ, tiếng đồng hồ tích tắc vang lên đều đặn, như nhắc người ta nhớ rằng thời gian chưa từng dừng lại.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0004_0004.wav,"cô bé ngồi bên cửa sổ, ôm cuốn sách cũ vào lòng, lặng lẽ nghe tiếng mưa rơi trên mái hiên.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0005_0005.wav,"người cha không nói gì thêm, chỉ đặt tay lên vai con, một cái chạm nhẹ nhưng đủ làm lòng người dịu lại.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0006_0006.wav,"đêm xuống rất chậm, từng vệt nắng cuối cùng tan ra trên mặt sông, để lại một khoảng trời tím nhạt và yên bình.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0007_0007.wav,"anh bước qua cây cầu nhỏ, nơi ngày xưa mẹ vẫn thường dắt anh đi chợ vào mỗi buổi sáng mùa đông.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0008_0008.wav,"ngôi làng nằm nép bên triền núi, hiền lành và lặng lẽ, như một ký ức đã được cất giữ rất lâu.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0009_0009.wav,"khi tiếng chuông nhà thờ vang lên, những cánh chim bất chợt bay khỏi hàng cây, để lại bầu trời trong trẻo phía sau.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0010_0010.wav,"cô không khóc, nhưng đôi mắt cô đỏ hoe, giống như tất cả nỗi buồn đã lặng lẽ chảy vào bên trong.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0011_0011.wav,"trên chiếc bàn gỗ, lá thư cũ vẫn nằm đó, mỏng manh, vàng úa, nhưng chứa đựng cả một đời chờ đợi.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0012_0012.wav,"ông lão mỉm cười rất khẽ, nụ cười của một người đã đi qua nhiều mất mát mà vẫn giữ được lòng hiền hậu.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0013_0013.wav,"con đường về nhà dài hơn mọi ngày, không phải vì khoảng cách, mà vì trong lòng anh có quá nhiều điều chưa nói.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0014_0014.wav,"gió từ cánh đồng thổi qua, mang theo mùi rơm mới, mùi đất ẩm, và cả tiếng cười xa xôi của những mùa hè cũ.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0015_0015.wav,"người mẹ ngồi vá áo dưới ngọn đèn vàng, từng mũi kim đi qua lớp vải như đi qua những tháng năm nhọc nhằn.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0016_0016.wav,"căn bếp ấm lên bởi mùi cơm mới, tiếng nước sôi, và giọng nói dịu dàng của bà vang lên sau lưng.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
wavs/0017_0017.wav,"cô gái dừng lại trước hiệu sách nhỏ, nơi lần đầu tiên cô gặp người đã làm thay đổi cả quãng đời thanh xuân.",hn_female_ngochuyen_full_24k-st,24000,1.0,,
